192.168.0.103 - - [19/Aug/2017:01:43:13 +0300] "GET /core/argus.keydown.js HTTP/1.1" 200 1120 "http://192.168.0.104/index.html" "Mozilla/5.0 (QtEmbedded; U; Linux; C) AppleWebKit/533.3 (KHTML, like Gecko) MAG200 stbapp ver: 2 rev: 250 Safari/533.3, Mozilla/5.0 (QtEmbedded; U; Linux; C) AppleWebKit/533.3 (KHTML, like Gecko) MAG200 stbapp ver: 2 rev: 250 Safari/533.3"
192.168.0.103 - - [19/Aug/2017:01:43:13 +0300] "GET /core/init.js HTTP/1.1" 200 352 "http://192.168.0.104/index.html" "Mozilla/5.0 (QtEmbedded; U; Linux; C) AppleWebKit/533.3 (KHTML, like Gecko) MAG200 stbapp ver: 2 rev: 250 Safari/533.3, Mozilla/5.0 (QtEmbedded; U; Linux; C) AppleWebKit/533.3 (KHTML, like Gecko) MAG200 stbapp ver: 2 rev: 250 Safari/533.3"
192.168.0.103 - - [19/Aug/2017:01:43:13 +0300] "GET /favicon.ico HTTP/1.1" 404 505 "http://192.168.0.104/index.html" "Mozilla/5.0 (QtEmbedded; U; Linux; C) AppleWebKit/533.3 (KHTML, like Gecko) MAG200 stbapp ver: 2 rev: 250 Safari/533.3"
192.168.0.103 - - [19/Aug/2017:01:43:28 +0300] "GET /index.html HTTP/1.1" 200 656 "-" "Mozilla/5.0 (QtEmbedded; U; Linux; C) AppleWebKit/533.3 (KHTML, like Gecko) MAG200 stbapp ver: 2 rev: 250 Safari/533.3, Mozilla/5.0 (QtEmbedded; U; Linux; C) AppleWebKit/533.3 (KHTML, like Gecko) MAG200 stbapp ver: 2 rev: 250 Safari/533.3"
192.168.0.103 - - [19/Aug/2017:01:43:28 +0300] "GET /core/init.js HTTP/1.1" 304 179 "http://192.168.0.104/index.html" "Mozilla/5.0 (QtEmbedded; U; Linux; C) AppleWebKit/533.3 (KHTML, like Gecko) MAG200 stbapp ver: 2 rev: 250 Safari/533.3, Mozilla/5.0 (QtEmbedded; U; Linux; C) AppleWebKit/533.3 (KHTML, like Gecko) MAG200 stbapp ver: 2 rev: 250 Safari/533.3"
192.168.0.103 - - [19/Aug/2017:01:43:28 +0300] "GET /favicon.ico HTTP/1.1" 404 505 "http://192.168.0.104/index.html" "Mozilla/5.0 (QtEmbedded; U; Linux; C) AppleWebKit/533.3 (KHTML, like Gecko) MAG200 stbapp ver: 2 rev: 250 Safari/533.3"
192.168.0.103 - - [19/Aug/2017:01:44:00 +0300] "GET /index.html HTTP/1.1" 200 657 "-" "Mozilla/5.0 (QtEmbedded; U; Linux; C) AppleWebKit/533.3 (KHTML, like Gecko) MAG200 stbapp ver: 2 rev: 250 Safari/533.3, Mozilla/5.0 (QtEmbedded; U; Linux; C) AppleWebKit/533.3 (KHTML, like Gecko) MAG200 stbapp ver: 2 rev: 250 Safari/533.3"
192.168.0.103 - - [19/Aug/2017:01:44:00 +0300] "GET /core/init.js HTTP/1.1" 304 179 "http://192.168.0.104/index.html" "Mozilla/5.0 (QtEmbedded; U; Linux; C) AppleWebKit/533.3 (KHTML, like Gecko) MAG200 stbapp ver: 2 rev: 250 Safari/533.3, Mozilla/5.0 (QtEmbedded; U; Linux; C) AppleWebKit/533.3 (KHTML, like Gecko) MAG200 stbapp ver: 2 rev: 250 Safari/533.3"
192.168.0.103 - - [19/Aug/2017:01:44:00 +0300] "GET /favicon.ico HTTP/1.1" 404 505 "http://192.168.0.104/index.html" "Mozilla/5.0 (QtEmbedded; U; Linux; C) AppleWebKit/533.3 (KHTML, like Gecko) MAG200 stbapp ver: 2 rev: 250 Safari/533.3"
192.168.0.103 - - [19/Aug/2017:01:44:21 +0300] "GET /index.html HTTP/1.1" 200 287 "-" "Mozilla/5.0 (QtEmbedded; U; Linux; C) AppleWebKit/533.3 (KHTML, like Gecko) MAG200 stbapp ver: 2 rev: 250 Safari/533.3, Mozilla/5.0 (QtEmbedded; U; Linux; C) AppleWebKit/533.3 (KHTML, like Gecko) MAG200 stbapp ver: 2 rev: 250 Safari/533.3"
